API,Endpoints,Description,Notes,Unnamed: 4
ada_code_category,,"categories for implants, hygiene, etc; ada website has ada codes; pulling ADA categories from PMS;",-,
applications,https://api.sikkasoft.com/v4/applications,"how many applications they've created in the Sikka API; read and write = 2 separate apps; app id, app status, app key for those different apps (QA, Sanbox, etc)",Authentication API V2,
authorized_practices,https://api.sikkasoft.com/v4/authorized_practices,"practice refresh details, data insert details, timezone; list of practices that are authorized to pull data",ONE API,
employers,https://api.sikkasoft.com/v4/employers,each patient has their insurance company and employert info; this endpoint includes who your employer is (e.g. Brian's employer is Sikka.ai),ONE API,
fee_schedules,https://api.sikkasoft.com/v4/fee_schedules,each practice has their own procedure code and has their own fees; can match procedure code to ADA code and compare fees with other practices,Fee Schedules under Sikka API v2,
practice_events,https://api.sikkasoft.com/v4/practice_events?interval={interval}&events={api name},returns changelogs and modified records between two refreshes,Modified Records under ONE API v4,
practice_location,https://api.sikkasoft.com/v4/practice_location,returns practice access details for each location that they have,Support APIs V4,
practice_resources,https://api.sikkasoft.com/v4/practice_resources,,ONE API,
practice_schedule,https://api.sikkasoft.com/v4/practice_schedule,"contains the schedule; open/close times; holidays, etc",ONE API,
practice_variables,https://api.sikkasoft.com/v4/practice_variables,,ONE API,
practices,https://api.sikkasoft.com/v4/practices,"can get practice adrress, city, name, etc.",ONE API,
procedure_categories,,practice creates their own categories; returns custom categories,Procedure Codes under Sikka API v2,
procedure_category_mapping,,not really coming from PMS; setting from Optimizer; moving from Optimizer to API can use this endpoint to ull Optimizer settings,Procedure Codes under Sikka API v2,
procedure_codes,https://api.sikkasoft.com/v4/procedure_codes,returns procedure code descriptions; different from category as each code has its own category,Procedure Codes under Sikka API v2,
provider_mapping,https://api.sikkasoft.com/v4/provider_mapping,"setting from Optimizer; pulls list of providers with mapping (e.g. in PMS all employees may be listed as provider, but in Optimizer it can be broken down to hygienist, doctor, etc.)",ONE API,
providers,,details about employees working in office,"Practices APIs under Sikka API v2, ONE API",
request_key_info,,token we generate for each practice; contains how many datapoints they can extract from each practice and for how long,Authentication API under Sikka API v2,
veterinary_clinics,,"can get practice address, city, name, etc. just for veterinary",Practices APIs under Sikka API v2,
datapipeline_request_status,,,-,
fee_schedule_bluebook,,"same as fee schedule, but this is specific to Softdent PMS",Fee Schedules under Sikka API v2,
data_sync_status,,whetherSPU is refreshed properly or if theres any errors,Support APIs V4,
DELETE refresh_key,DELETE https://api.sikkasoft.com/v4/refresh_key,part of authentication; if the key is exposed/compromised or if location is removed then key would be deleted,Authentication API V4,
DELETE request_key,DELETE https://api.sikkasoft.com/v4/request_key,part of authentication; if the key is exposed/compromised or if location is removed then key would be deleted; token to request data,-,
DELETE writebacks,DELETE https://api.sikkasoft.com/v4/writebacks,deleting writeback command; if practice is offline or don't want to post in PMS they can delete the ability to writeback command via API,-,
health_check,https://api.sikkasoft.com/v4/health_check,This is a health check for the SPU,Support APIs V4,
POST practice_access,POST https://api.sikkasoft.com/v4/practice_access,,-,
POST practice_location,POST https://api.sikkasoft.com/v4/practice_location,"enable or disable API, in general, for particular locations; disabled = cant pull data from them at all",Support APIs V4,
POST practice_query,POST https://api.sikkasoft.com/v4/practice_query,like graphql you can pull custom data from different endpoints,Practice Query V4,
